observed_at,source,market_id,player_id,player_name,player_name_full,position_id,sale_price,market_value,bids,seller,status,player_status,shielded,expires_at
2026-08-17T2345Z,laliga,10520311,2418,Marc Roca,Marc Roca,3,5403735,5382179,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T23:09:39+02:00
2026-08-17T2345Z,laliga,10520445,2607,Ilaix Moriba,Moriba Kourouma Kourouma,3,10086454,9827371,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T23:09:30+02:00
2026-08-17T2345Z,laliga,10521109,2504,Ayoze,Ayoze Pérez,4,17352024,17704854,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T23:09:59+02:00
2026-08-17T2345Z,laliga,10521397,2603,Ferran Jutglà,Ferran Jutglà,4,9506551,9561951,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T23:09:54+02:00
2026-08-17T2345Z,laliga,10530519,2613,M. Dituro,Matías Dituro,1,7572315,7751180,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T23:09:10+02:00
2026-08-17T2345Z,laliga,10531276,1674,Arda Güler,Arda Güler,3,52651995,54547883,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T23:09:45+02:00
2026-08-17T2345Z,laliga,11115893,2783,Szczesny,Wojciech Szczesny,1,2257695,2206146,0,marketPlayerTeam,on_sale,ok,false,2026-08-20T23:29:01+02:00
2026-08-17T2345Z,laliga,11705725,3129,Carlos Espí,Carlos Espí,4,8742183,9305617,1,marketPlayerTeam,on_sale,ok,false,2026-08-18T19:19:24+02:00
2026-08-17T2345Z,laliga,11943329,3099,Fornals,Pablo Fornals,3,57625840,57032839,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T00:24:01+02:00
2026-08-17T2345Z,laliga,11943633,637,Moncayola,Jon Moncayola,3,6856268,6933138,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T00:24:33+02:00
2026-08-17T2345Z,laliga,11943699,1070,De Galarreta,Inigo Ruiz de Galarreta,3,12424943,12650951,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T00:24:39+02:00
2026-08-17T2345Z,laliga,11943762,1215,Turrientes,Beñat Turrientes,3,7136043,7073131,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T00:24:43+02:00
2026-08-17T2345Z,laliga,11943807,2453,Agoumé,Lucien Agoumé,3,5839881,5760043,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T00:24:48+02:00
2026-08-17T2345Z,laliga,11943865,3036,Dani Lorenzo,Dani Lorenzo,3,9716466,9604577,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T00:24:53+02:00
2026-08-17T2345Z,laliga,11943976,2390,Starfelt,Carl Starfelt,2,13983235,14087470,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T00:25:01+02:00
2026-08-17T2345Z,laliga,12713214,2315,Paredes,Aitor Paredes,2,5550000,5292134,0,marketPlayerTeam,on_sale,ok,false,2026-08-19T23:04:17+02:00
2026-08-17T2345Z,laliga,12717104,1959,Mouriño,Santiago Mouriño,2,40219248,38378600,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T23:09:16+02:00
2026-08-17T2345Z,laliga,12717146,3068,Cabrera,Leandro Cabrera,2,17006166,16532608,1,marketPlayerTeam,on_sale,suspended,false,2026-08-19T23:09:19+02:00
2026-08-17T2345Z,laliga,12717225,2470,Foyth,Juan Foyth,2,12236452,12898244,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T23:09:25+02:00
2026-08-17T2345Z,laliga,12717763,3022,Villalibre,Asier Villalibre,4,7249976,7235042,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T23:10:04+02:00
2026-08-17T2345Z,laliga,12717862,3089,Ez Abde,Abde Ezzalzouli,4,44395627,42927674,1,marketPlayerTeam,on_sale,doubtful,false,2026-08-19T23:10:11+02:00
2026-08-17T2345Z,laliga,12978053,3098,Q. Hartman,Quilindschy Hartman,2,8549024,8289301,1,marketPlayerTeam,on_sale,ok,false,2026-08-20T13:04:17+02:00
2026-08-17T2345Z,laliga,13366826,3037,C. Puga,Carlos Puga,2,5167056,5102130,1,marketPlayerTeam,on_sale,ok,false,2026-08-20T21:37:51+02:00
2026-08-17T2345Z,laliga,13422062,2530,Huijsen,Dean Huijsen,2,35102280,34050589,0,marketPlayerTeam,on_sale,ok,false,2026-08-20T22:34:26+02:00
2026-08-17T2345Z,laliga,13422395,2700,Etta Eyong,Karl Edouard Blaise Etta Eyong,4,26767339,25505804,0,marketPlayerTeam,on_sale,ok,false,2026-08-20T22:34:47+02:00
2026-08-17T2345Z,laliga,13429658,1337,Tenaglia,Nahuel Tenaglia,2,16992195,15621725,0,marketPlayerTeam,on_sale,ok,false,2026-08-20T22:41:20+02:00
2026-08-17T2345Z,laliga,13477125,2474,Denis Suárez,Denis Suárez,3,2456693,2423219,0,marketPlayerTeam,on_sale,ok,false,2026-08-20T23:22:19+02:00
2026-08-17T2345Z,laliga,13477195,3069,Blanco,Antonio Blanco,3,14889131,14803449,0,marketPlayerTeam,on_sale,ok,false,2026-08-20T23:22:22+02:00
2026-08-18T0144Z,laliga,63777377,2527,Simeone,Diego Simeone,5,5552694,5387241,0,marketPlayerLeague,on_sale,ok,,2026-08-18T22:24:00+02:00
2026-08-18T0144Z,laliga,63777378,3094,Edin Terzic,Edin Terzic,5,7462901,7179353,0,marketPlayerLeague,on_sale,ok,,2026-08-18T22:24:00+02:00
2026-08-18T0144Z,laliga,63777379,2382,Isi,Isi Palazón,4,19678560,20197802,1,marketPlayerLeague,on_sale,ok,,2026-08-18T22:24:00+02:00
2026-08-18T0144Z,laliga,63777380,3087,Pepe,Nicolas Pépé,4,51462416,53090886,0,marketPlayerLeague,on_sale,ok,,2026-08-18T22:24:00+02:00
2026-08-18T0144Z,laliga,63777381,3100,Pedri,Pedro González López,3,89225765,90239837,0,marketPlayerLeague,on_sale,ok,,2026-08-18T22:24:00+02:00
2026-08-18T0144Z,laliga,63777382,2423,Lunin,Andrii Lunin,1,2111107,2081695,0,marketPlayerLeague,on_sale,ok,,2026-08-18T22:24:00+02:00
2026-08-18T0144Z,laliga,63777383,3142,Angeliño,José Ángel Esmoris Tasende,2,15491666,15537090,0,marketPlayerLeague,on_sale,ok,,2026-08-18T22:24:00+02:00
2026-08-18T0144Z,laliga,63777385,1787,Prados,Beñat Prados,3,1397648,1366137,0,marketPlayerLeague,on_sale,ok,,2026-08-18T22:24:00+02:00
2026-08-18T0144Z,laliga,63777387,3178,Lozano,Sergio Lozano,2,667402,655674,0,marketPlayerLeague,on_sale,ok,,2026-08-18T22:24:00+02:00
2026-08-18T0144Z,laliga,63777389,3123,Marcos Alonso,Marcos Alonso,2,28904550,28589508,0,marketPlayerLeague,on_sale,ok,,2026-08-18T22:24:00+02:00
2026-08-18T0144Z,laliga,63777392,121,Bartra,Marc Bartra Aregall,2,27751215,27594034,0,marketPlayerLeague,on_sale,ok,,2026-08-18T22:24:00+02:00
2026-08-18T0144Z,laliga,63777395,2887,Mañas,Aitor Mañas,4,529435,523226,0,marketPlayerLeague,on_sale,ok,,2026-08-18T22:24:00+02:00
2026-08-18T0144Z,laliga,63777399,2745,Edu Altozano,Eduardo Altozano Agudo,3,592744,584002,0,marketPlayerLeague,on_sale,ok,,2026-08-18T22:24:00+02:00
2026-08-18T0144Z,laliga,10520311,2418,Marc Roca,Marc Roca,3,5403735,5382179,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T23:09:39+02:00
2026-08-18T0144Z,laliga,10520445,2607,Ilaix Moriba,Moriba Kourouma Kourouma,3,10086454,9827371,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T23:09:30+02:00
2026-08-18T0144Z,laliga,10521109,2504,Ayoze,Ayoze Pérez,4,17352024,17704854,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T23:09:59+02:00
2026-08-18T0144Z,laliga,10521397,2603,Ferran Jutglà,Ferran Jutglà,4,9506551,9561951,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T23:09:54+02:00
2026-08-18T0144Z,laliga,10530519,2613,M. Dituro,Matías Dituro,1,7572315,7751180,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T23:09:10+02:00
2026-08-18T0144Z,laliga,10531276,1674,Arda Güler,Arda Güler,3,52651995,54547883,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T23:09:45+02:00
2026-08-18T0144Z,laliga,11115893,2783,Szczesny,Wojciech Szczesny,1,2257695,2206146,0,marketPlayerTeam,on_sale,ok,false,2026-08-20T23:29:01+02:00
2026-08-18T0144Z,laliga,11705725,3129,Carlos Espí,Carlos Espí,4,8742183,9305617,1,marketPlayerTeam,on_sale,ok,false,2026-08-18T19:19:24+02:00
2026-08-18T0144Z,laliga,11943329,3099,Fornals,Pablo Fornals,3,57625840,57032839,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T00:24:01+02:00
2026-08-18T0144Z,laliga,11943633,637,Moncayola,Jon Moncayola,3,6856268,6933138,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T00:24:33+02:00
2026-08-18T0144Z,laliga,11943699,1070,De Galarreta,Inigo Ruiz de Galarreta,3,12424943,12650951,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T00:24:39+02:00
2026-08-18T0144Z,laliga,11943762,1215,Turrientes,Beñat Turrientes,3,7136043,7073131,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T00:24:43+02:00
2026-08-18T0144Z,laliga,11943807,2453,Agoumé,Lucien Agoumé,3,5839881,5760043,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T00:24:48+02:00
2026-08-18T0144Z,laliga,11943865,3036,Dani Lorenzo,Dani Lorenzo,3,9716466,9604577,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T00:24:53+02:00
2026-08-18T0144Z,laliga,11943976,2390,Starfelt,Carl Starfelt,2,13983235,14087470,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T00:25:01+02:00
2026-08-18T0144Z,laliga,12713214,2315,Paredes,Aitor Paredes,2,5550000,5292134,0,marketPlayerTeam,on_sale,ok,false,2026-08-19T23:04:17+02:00
2026-08-18T0144Z,laliga,12717104,1959,Mouriño,Santiago Mouriño,2,40219248,38378600,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T23:09:16+02:00
2026-08-18T0144Z,laliga,12717146,3068,Cabrera,Leandro Cabrera,2,17006166,16532608,1,marketPlayerTeam,on_sale,suspended,false,2026-08-19T23:09:19+02:00
2026-08-18T0144Z,laliga,12717225,2470,Foyth,Juan Foyth,2,12236452,12898244,1,marketPlayerTeam,on_sale,ok,false,2026-08-19T23:09:25+02:00
